,Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
165,2019-02-02,3484.625977,3523.287354,3467.574707,3521.060791,3521.060791,5071623601.0,15728.0,60582064000.0,0.0837149356661814
166,2019-02-03,3516.139648,3521.388184,3447.924316,3464.013428,3464.013428,5043937584.0,15208.0,60500054000.0,0.0833707947213744
167,2019-02-04,3467.21167,3476.223877,3442.586914,3459.154053,3459.154053,5332718886.0,18658.0,60302184000.0,0.0884332621581649
168,2019-02-05,3454.950928,3478.148193,3451.937012,3466.357422,3466.357422,5227549545.0,19792.0,60370276000.0,0.0865914463356074
169,2019-02-06,3469.091797,3469.091797,3398.56543,3413.767822,3413.767822,5482196038.0,20673.0,59571675000.0,0.0920268907242299
170,2019-02-07,3414.929443,3427.945557,3394.218506,3399.47168,3399.47168,5004962683.0,18834.0,59437674000.0,0.0842052237985323
171,2019-02-08,3401.376465,3695.614014,3391.023682,3666.780273,3666.780273,7735623101.0,20304.0,60998790000.0,0.1268160065614236
172,2019-02-09,3671.585938,3679.941406,3646.559326,3671.203613,3671.203613,6158833645.0,18400.0,63979980000.0,0.0962618895025418
173,2019-02-10,3673.201416,3695.036133,3640.97998,3690.188232,3690.188232,6282256903.0,15294.0,63901880000.0,0.0983109866492266
174,2019-02-11,3695.613037,3695.613037,3642.287842,3648.430664,3648.430664,6277056434.0,17137.0,63768523000.0,0.098435029746759
175,2019-02-12,3642.751953,3668.586914,3618.556885,3653.528564,3653.528564,6480384532.0,18536.0,63316500000.0,0.1023490635596163
176,2019-02-13,3653.604004,3669.746582,3617.246338,3632.070557,3632.070557,6438903823.0,19037.0,63417380000.0,0.1015321625597937
177,2019-02-14,3631.170166,3646.256592,3607.697754,3616.880859,3616.880859,6271044418.0,20146.0,63145280000.0,0.0993113732150276
178,2019-02-15,3617.368408,3647.795166,3608.206543,3620.810791,3620.810791,6091952231.0,17973.0,63158178000.0,0.0964554780390077
179,2019-02-16,3615.270264,3652.841309,3615.270264,3629.787598,3629.787598,5934744052.0,14503.0,63443243000.0,0.0935441470299941
180,2019-02-17,3633.359375,3680.537354,3619.182129,3673.836182,3673.836182,7039512503.0,15013.0,63502620000.0,0.1108538932021223
181,2019-02-18,3671.369873,3936.665039,3669.982422,3915.714355,3915.714355,9908216640.0,20088.0,66599924000.0,0.1487721920350298
182,2019-02-19,3911.661621,4010.879395,3908.153076,3947.094482,3947.094482,9933626655.0,20657.0,69033890000.0,0.1438949202418775
183,2019-02-20,3946.685059,4000.486328,3926.246826,3999.820557,3999.820557,8693373948.0,19783.0,69183570000.0,0.1256566256706979
184,2019-02-21,4000.256836,4010.009521,3940.108154,3954.118164,3954.118164,7775128102.0,18673.0,69185480000.0,0.1123809252033802
185,2019-02-22,3952.406494,4006.53833,3950.816406,4005.526611,4005.526611,7826525254.0,18990.0,69472550000.0,0.1126563678928928
186,2019-02-23,3998.91626,4166.286133,3968.726807,4142.526855,4142.526855,8922258316.0,17467.0,70322910000.0,0.1268755502274891
187,2019-02-24,4145.458008,4210.641602,3793.708984,3810.42749,3810.42749,10794227451.0,19043.0,70574630000.0,0.1529477040793354
188,2019-02-25,3807.002441,3913.707275,3807.002441,3882.696289,3882.696289,9318796067.0,18557.0,67106836000.0,0.1388650777745617
189,2019-02-26,3878.697266,3891.578857,3837.986328,3854.35791,3854.35791,7931218996.0,18337.0,67128553000.0,0.1181497080718146
190,2019-02-27,3857.479736,3888.80249,3787.058838,3851.047363,3851.047363,8301309684.0,17989.0,67060994000.0,0.1237874535241485
191,2019-02-28,3848.261963,3906.05835,3845.821289,3854.7854,3854.7854,8399767798.0,17668.0,67317020000.0,0.1247792604262081
192,2019-03-01,3853.75708,3907.79541,3851.692383,3859.58374,3859.58374,7661247975.0,16498.0,67389264000.0,0.1136864766701097
193,2019-03-02,3855.318115,3874.607422,3832.12793,3864.415039,3864.415039,7578786076.0,14475.0,67200150000.0,0.1127793003582064
194,2019-03-03,3862.266113,3875.483643,3836.905762,3847.175781,3847.175781,7253558152.0,14176.0,67084673000.0,0.1081254156132651
195,2019-03-04,3845.091553,3867.381836,3733.749756,3761.557129,3761.557129,9029175788.0,17545.0,65808376000.0,0.1372040515684991
196,2019-03-05,3759.83252,3903.916748,3745.183105,3896.375,3896.375,10174126415.0,18838.0,66525696000.0,0.1529352870656174
197,2019-03-06,3897.081055,3919.510498,3871.460693,3903.942627,3903.942627,9175291529.0,18028.0,67771160000.0,0.1353863756838269
198,2019-03-07,3903.384766,3939.373291,3894.113037,3911.484375,3911.484375,9584165519.0,18488.0,68255105000.0,0.1404168305891551
199,2019-03-08,3913.22583,3950.432129,3875.228516,3901.131592,3901.131592,10638638944.0,17183.0,68473190000.0,0.1553694110066843
200,2019-03-09,3894.55249,3987.237793,3892.390381,3963.313721,3963.313721,10796103518.0,17366.0,68820290000.0,0.1568738508958203
201,2019-03-10,3966.174316,3966.174316,3924.381104,3951.599854,3951.599854,9713267607.0,15841.0,68833860000.0,0.1411117635522052
202,2019-03-11,3953.740234,3966.384766,3889.239014,3905.227295,3905.227295,10125901903.0,18186.0,68368290000.0,0.1481081643815648
203,2019-03-12,3903.758301,3926.88916,3863.559082,3909.15625,3909.15625,9809887079.0,19917.0,68059234000.0,0.1441374881648272
204,2019-03-13,3913.047363,3926.597656,3891.904297,3906.717285,3906.717285,9469184841.0,18492.0,68073017000.0,0.1391033512316407
205,2019-03-14,3905.576904,3946.504395,3901.296875,3924.369141,3924.369141,10480789570.0,20023.0,68127340000.0,0.1538411715674958
206,2019-03-15,3926.66333,3968.542969,3914.015381,3960.911133,3960.911133,9394210605.0,20206.0,68671537000.0,0.1367991892216788
207,2019-03-16,3963.900146,4077.036377,3961.657471,4048.72583,4048.72583,9856166973.0,17435.0,70463906000.0,0.1398753995001935
208,2019-03-17,4047.719482,4054.12207,4006.411133,4025.229004,4025.229004,8221625400.0,15347.0,70155700000.0,0.1171911279305404
209,2019-03-18,4029.968506,4071.556641,4009.117188,4032.507324,4032.507324,9646954186.0,18737.0,70253270000.0,0.1373167933957486
210,2019-03-19,4032.691895,4082.216064,4023.8125,4071.190186,4071.190186,9344919956.0,18727.0,70437010000.0,0.1326705912535415
211,2019-03-20,4070.793945,4089.461914,4031.11084,4087.476318,4087.476318,10175916388.0,19248.0,70764280000.0,0.1438001788629357
212,2019-03-21,4083.953857,4097.359863,4005.151367,4029.326904,4029.326904,10831212662.0,19423.0,70863140000.0,0.1528469133164264
213,2019-03-22,4028.514648,4053.906738,4021.54248,4023.968262,4023.968262,9252935969.0,16970.0,70399390000.0,0.1314348813334736
214,2019-03-23,4022.713379,4049.882568,4015.9646,4035.826416,4035.826416,9578850549.0,15265.0,70417030000.0,0.1360303095730762
215,2019-03-24,4035.163574,4040.699707,4006.192871,4022.168213,4022.168213,9144851065.0,13501.0,70233290000.0,0.1302067822882996
216,2019-03-25,4024.112793,4038.84082,3934.03125,3963.070557,3963.070557,10359818883.0,17740.0,69968350000.0,0.1480643649172281
